SourceFile,VideoName,ExpectedSpeaker,Emotion,TotalFramesVideo,SpeakerFramesFound,FramesExtracted,UnknownCount,ErrorUTACount,Status
res_dia0_utt0_20260731_235805_full.txt,dia0_utt0,Chandler,neutral,136,136,136,72,64,Processed
res_dia0_utt10_20260731_235848_full.txt,dia0_utt10,Chandler,fear,48,48,48,0,48,Processed
res_dia0_utt11_20260801_000008_full.txt,dia0_utt11,The Interviewer,neutral,199,0,0,150,20,Speaker Not Trained
res_dia0_utt12_20260801_000051_full.txt,dia0_utt12,Chandler,surprise,74,74,74,51,23,Processed
res_dia0_utt13_20260801_000136_full.txt,dia0_utt13,The Interviewer,neutral,72,0,0,58,6,Speaker Not Trained
res_dia0_utt1_20260731_235827_full.txt,dia0_utt1,The Interviewer,neutral,36,0,0,36,36,Speaker Not Trained
res_dia0_utt2_20260801_000203_full.txt,dia0_utt2,Chandler,neutral,70,68,68,2,2,Processed
res_dia0_utt3_20260801_000248_full.txt,dia0_utt3,The Interviewer,neutral,66,0,0,66,0,Speaker Not Trained
res_dia0_utt4_20260801_000328_full.txt,dia0_utt4,Chandler,surprise,155,155,155,0,0,Processed
res_dia0_utt5_20260801_000430_full.txt,dia0_utt5,The Interviewer,neutral,77,0,0,77,6,Speaker Not Trained
res_dia0_utt6_20260801_000500_full.txt,dia0_utt6,Chandler,neutral,74,74,74,0,3,Processed
res_dia0_utt7_20260801_000541_full.txt,dia0_utt7,The Interviewer,neutral,137,0,0,5,18,Speaker Not Trained
res_dia0_utt8_20260801_000602_full.txt,dia0_utt8,Chandler,neutral,24,24,24,0,24,Processed
res_dia0_utt9_20260801_000643_full.txt,dia0_utt9,The Interviewer,neutral,53,0,0,32,21,Speaker Not Trained
res_dia100_utt0_20260801_011903_full.txt,dia100_utt0,Ross,neutral,45,43,43,47,0,Processed
res_dia100_utt1_20260801_011957_full.txt,dia100_utt1,Ross,neutral,87,87,87,87,0,Processed
res_dia100_utt2_20260801_012025_full.txt,dia100_utt2,Ross,neutral,27,27,27,27,0,Processed
res_dia100_utt3_20260801_012051_full.txt,dia100_utt3,Ross,fear,59,59,59,38,21,Processed
res_dia100_utt4_20260801_012156_full.txt,dia100_utt4,Dr. Rhodes,neutral,180,0,0,1,32,Speaker Not Trained
res_dia100_utt5_20260801_012251_full.txt,dia100_utt5,Ross,neutral,109,109,109,109,0,Processed
res_dia100_utt6_20260801_012326_full.txt,dia100_utt6,Dr. Rhodes,neutral,68,0,0,68,0,Speaker Not Trained
res_dia100_utt7_20260801_012350_full.txt,dia100_utt7,Ross,surprise,42,42,42,42,0,Processed
res_dia101_utt0_20260801_012423_full.txt,dia101_utt0,Dr. Rhodes,neutral,11,0,0,2,2,Speaker Not Trained
res_dia101_utt1_20260801_012441_full.txt,dia101_utt1,Ross,surprise,13,0,0,1,0,Speaker Not Found
res_dia102_utt0_20260801_012545_full.txt,dia102_utt0,Dr. Rhodes,neutral,164,0,0,35,21,Speaker Not Trained
res_dia102_utt1_20260801_012611_full.txt,dia102_utt1,Dr. Johnson,neutral,67,0,0,21,17,Speaker Not Trained
res_dia102_utt2_20260801_012658_full.txt,dia102_utt2,Dr. Rhodes,neutral,56,0,0,56,0,Speaker Not Trained
res_dia103_utt0_20260801_012807_full.txt,dia103_utt0,Kristen,joy,82,0,0,135,0,Speaker Not Trained
res_dia103_utt1_20260801_012956_full.txt,dia103_utt1,Ross,neutral,218,218,218,111,81,Processed
res_dia103_utt2_20260801_013115_full.txt,dia103_utt2,Kristen,surprise,91,0,0,67,60,Speaker Not Trained
res_dia103_utt3_20260801_013154_full.txt,dia103_utt3,Ross,joy,60,60,60,0,60,Processed
res_dia103_utt4_20260801_013332_full.txt,dia103_utt4,Kristen,neutral,94,0,0,102,56,Speaker Not Trained
res_dia103_utt5_20260801_013516_full.txt,dia103_utt5,Ross,neutral,97,97,97,194,0,Processed
res_dia103_utt6_20260801_013532_full.txt,dia103_utt6,Kristen,joy,3,0,0,6,0,Speaker Not Trained
res_dia103_utt7_20260801_013655_full.txt,dia103_utt7,Ross,joy,201,201,201,0,201,Processed
res_dia104_utt0_20260801_013751_full.txt,dia104_utt0,Janice,surprise,94,0,0,63,57,Speaker Not Trained
res_dia104_utt1_20260801_013817_full.txt,dia104_utt1,Rachel,joy,38,37,37,0,0,Processed
res_dia105_utt0_20260801_013845_full.txt,dia105_utt0,Ross,fear,38,0,0,2,29,Speaker Not Found
res_dia105_utt1_20260801_013904_full.txt,dia105_utt1,Janice,surprise,33,0,0,0,33,Speaker Not Trained
res_dia106_utt0_20260801_013953_full.txt,dia106_utt0,Ross,neutral,107,107,107,2,0,Processed
res_dia106_utt1_20260801_014029_full.txt,dia106_utt1,Janice,surprise,44,0,0,42,42,Speaker Not Trained
res_dia106_utt2_20260801_014130_full.txt,dia106_utt2,Ross,neutral,165,165,165,0,0,Processed
res_dia106_utt3_20260801_014217_full.txt,dia106_utt3,Janice,neutral,68,0,0,27,8,Speaker Not Trained
res_dia106_utt4_20260801_014242_full.txt,dia106_utt4,Rachel,neutral,25,25,25,0,25,Processed
res_dia106_utt5_20260801_014316_full.txt,dia106_utt5,Janice,fear,54,0,0,56,8,Speaker Not Trained
res_dia107_utt0_20260801_014343_full.txt,dia107_utt0,Joey,neutral,37,37,37,0,0,Processed
res_dia107_utt10_20260801_014545_full.txt,dia107_utt10,Phoebe,neutral,315,291,291,39,114,Processed
res_dia107_utt1_20260801_014405_full.txt,dia107_utt1,Ross,neutral,42,42,42,0,0,Processed
res_dia107_utt2_20260801_014622_full.txt,dia107_utt2,Monica,neutral,28,0,0,29,14,Speaker Not Found
res_dia107_utt4_20260801_014701_full.txt,dia107_utt4,Monica,neutral,67,0,0,23,80,Speaker Not Found
res_dia107_utt5_20260801_014745_full.txt,dia107_utt5,Joey,joy,101,101,101,0,0,Processed
res_dia107_utt6_20260801_014808_full.txt,dia107_utt6,Ross,neutral,36,0,0,21,4,Speaker Not Found
res_dia107_utt7_20260801_014903_full.txt,dia107_utt7,Phoebe,neutral,30,0,0,66,0,Speaker Not Found
res_dia107_utt8_20260801_014928_full.txt,dia107_utt8,Phoebe,neutral,44,31,31,13,41,Processed
res_dia107_utt9_20260801_015057_full.txt,dia107_utt9,Phoebe,neutral,147,89,89,84,117,Processed
res_dia108_utt0_20260801_015155_full.txt,dia108_utt0,Chandler,neutral,178,178,178,1,58,Processed
res_dia108_utt1_20260801_015250_full.txt,dia108_utt1,Monica,neutral,111,0,0,0,54,Speaker Not Found
res_dia108_utt2_20260801_015320_full.txt,dia108_utt2,Rachel,joy,71,71,71,0,10,Processed
res_dia108_utt3_20260801_015406_full.txt,dia108_utt3,Monica,neutral,56,0,0,23,70,Speaker Not Found
res_dia108_utt4_20260801_015428_full.txt,dia108_utt4,Rachel,joy,54,54,54,0,0,Processed
res_dia108_utt5_20260801_015525_full.txt,dia108_utt5,Chandler,neutral,107,30,30,0,0,Processed
res_dia108_utt6_20260801_015817_full.txt,dia108_utt6,Rachel,neutral,269,165,165,197,132,Processed
res_dia109_utt0_20260801_020011_full.txt,dia109_utt0,Monica,neutral,114,103,103,129,262,Processed
res_dia109_utt10_20260801_020205_full.txt,dia109_utt10,Monica,neutral,46,41,41,0,222,Processed
res_dia109_utt11_20260801_020249_full.txt,dia109_utt11,Phoebe,neutral,46,46,46,0,58,Processed
res_dia109_utt12_20260801_020337_full.txt,dia109_utt12,Monica,neutral,79,79,79,7,79,Processed
res_dia109_utt13_20260801_020719_full.txt,dia109_utt13,Chandler,neutral,198,161,161,226,500,Processed
res_dia109_utt14_20260801_020808_full.txt,dia109_utt14,Phoebe,neutral,32,57,57,0,26,Processed
res_dia109_utt15_20260801_020850_full.txt,dia109_utt15,Chandler,anger,19,2,2,2,6,Processed
res_dia109_utt16_20260801_020932_full.txt,dia109_utt16,Chandler,fear,26,26,26,42,15,Processed
res_dia109_utt17_20260801_021201_full.txt,dia109_utt17,Chandler,fear,105,90,90,206,129,Processed
res_dia109_utt18_20260801_021257_full.txt,dia109_utt18,Chandler,fear,69,69,69,20,119,Processed
res_dia109_utt19_20260801_021336_full.txt,dia109_utt19,Phoebe,surprise,42,42,42,0,100,Processed
res_dia109_utt1_20260801_020108_full.txt,dia109_utt1,Chandler,disgust,58,66,66,3,126,Processed
res_dia109_utt20_20260801_021416_full.txt,dia109_utt20,Chandler,anger,33,0,0,2,73,Speaker Not Found
res_dia109_utt21_20260801_021530_full.txt,dia109_utt21,Monica,joy,62,62,62,112,17,Processed
res_dia109_utt3_20260801_021631_full.txt,dia109_utt3,Phoebe,anger,65,65,65,56,215,Processed
res_dia109_utt4_20260801_021825_full.txt,dia109_utt4,Monica,joy,79,53,53,145,123,Processed
res_dia109_utt5_20260801_022112_full.txt,dia109_utt5,Phoebe,joy,106,106,106,197,138,Processed
res_dia109_utt6_20260801_022429_full.txt,dia109_utt6,Rachel,sadness,78,0,0,300,220,Speaker Not Found
res_dia109_utt7_20260801_022538_full.txt,dia109_utt7,Rachel,sadness,82,71,71,51,82,Processed
res_dia109_utt8_20260801_022712_full.txt,dia109_utt8,Rachel,sadness,115,0,0,80,117,Speaker Not Found
res_dia109_utt9_20260801_022829_full.txt,dia109_utt9,Phoebe,joy,71,13,13,46,289,Processed
res_dia10_utt0_20260801_022911_full.txt,dia10_utt0,Phoebe,anger,35,24,24,43,38,Processed
res_dia10_utt1_20260801_022940_full.txt,dia10_utt1,Phoebe,anger,33,12,12,43,11,Processed
res_dia10_utt2_20260801_023018_full.txt,dia10_utt2,Phoebe,anger,52,51,51,4,8,Processed
res_dia10_utt3_20260801_023041_full.txt,dia10_utt3,Phoebe,anger,41,39,39,2,7,Processed
res_dia10_utt4_20260801_023125_full.txt,dia10_utt4,Phoebe,anger,99,97,97,2,7,Processed
res_dia10_utt5_20260801_023200_full.txt,dia10_utt5,Monica,neutral,54,0,0,15,43,Speaker Not Found
res_dia110_utt0_20260801_023247_full.txt,dia110_utt0,Monica,neutral,45,32,32,9,0,Processed
res_dia110_utt1_20260801_023312_full.txt,dia110_utt1,Phoebe,surprise,22,22,22,26,0,Processed
res_dia110_utt2_20260801_023411_full.txt,dia110_utt2,Monica,surprise,116,116,116,0,0,Processed
res_dia110_utt3_20260801_023427_full.txt,dia110_utt3,Phoebe,anger,41,41,41,0,0,Processed
res_dia110_utt4_20260801_023450_full.txt,dia110_utt4,Joey,neutral,25,25,25,0,0,Processed
res_dia110_utt5_20260801_023526_full.txt,dia110_utt5,Monica,joy,67,0,0,0,18,Speaker Not Found
res_dia111_utt0_20260801_023608_full.txt,dia111_utt0,Joey,joy,57,44,44,23,54,Processed
res_dia111_utt10_20260801_023650_full.txt,dia111_utt10,Chandler,surprise,22,22,22,0,0,Processed
res_dia111_utt11_20260801_023720_full.txt,dia111_utt11,Joey,neutral,67,58,58,0,0,Processed
res_dia111_utt12_20260801_023813_full.txt,dia111_utt12,Joey,neutral,158,158,158,0,25,Processed
res_dia111_utt13_20260801_023847_full.txt,dia111_utt13,Chandler,fear,64,64,64,0,0,Processed
res_dia111_utt14_20260801_024104_full.txt,dia111_utt14,Joey,neutral,484,475,475,9,75,Processed
res_dia111_utt15_20260801_024220_full.txt,dia111_utt15,Chandler,disgust,158,158,158,0,158,Processed
res_dia111_utt16_20260801_024251_full.txt,dia111_utt16,Joey,surprise,38,34,34,4,0,Processed
res_dia111_utt17_20260801_024433_full.txt,dia111_utt17,Chandler,disgust,266,249,249,48,139,Processed
